NUTScode,NUTSlevel,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AT,0,4071,4018,3397,3226,2910,3320,2826,2704,3205,3240,3274,3414,3370,3415,3539,3349,3320
BE,0,8358,8234,6863,7054,7355,7012,6894,7010,6558,6515,4949,5334,6761,6147,6007,5619,5067
BG,0,3676,3486,986,1279,2253,2609,2338,2506,2733,2810,2825,2895.403629,2716.321854,2443.61741,2385.593463,2365.507499,2451.217866
CH,0,2740,2826,2802,2918,2868,2616,2548,2739,2490,2560,2455,2497,2474,2300,2344,2320,
CY,0,2610,2630,2320,1881,1660,1607,2360,3040,2700,2690,2780,2530,2380,2650,2560,2500,2619
CZ,0,4333,4206,3223,6311,7174,6490,5179,5588,6574,6155.532,6895,7496.542032,8087.614122,7665.888904,6560.066372,6047.334911,
DE,0,28495,25747,27918,29701,36868,35888,36781,37386,38529,41055,41630,34763,31685,30138,32331,30163,22084.764034
DK,0,2760,2240,1510,1420,1680,1660,1650,1720,1780,2050,2280,2214.035,2201.694,2348.625,2256.596,1995.07631,1711.414458
EE,0,2340,2380,1042,1248,1654,1528,1560,1638,796,680,1139,1115,1111,,,,
EL,0,10590,9919,7446,6425,3635,4168,5818,6098,5525,6053,5928,13422,5341,4703,4961.8,4542,4685
ES,0,25904,24400,18624,19067,16166,14266,12806,14991,16040,15844,15627,15062,13954,13240,12467,10386,12349
FI,0,1299,1298,1779,2187,1880,1898,1872,1662,1712,1974,2618,2592,2296,1970,2154,2060,1632
FR,0,19031,16887,10647,14862,15488,14433,14352,13692,12784,12918,12522,13071,12291,11810,12951,12186,10861
HR,,,,,,,,,1980,1903,1782,2011,1976,1912,1982,1923,1777,1836
HU,0,2502,2548,1626,1332,1105,904,610,797,747,877,1071,1231.3,1251.33,1060.408,1071.326,870.345,784.195
IE,0,4027,3590,2271,1956,1758,2060,1948,2507,2708,2872,2966,3081.509995,2991.616893,2683.970423,4116.5709704,3635.9899016,3360.9650926
IT,0,28901,27509,22203,22316,21490,17245,15108,14183,9699,13102,13162,12581.5651,13333.35319,12205.5289,13702.49014,12298.4063,11916.660682
LT,,,902,585,594,663,815,955,807,843,741,735,2.37,968,865,982,982,
LU,0,678,641,620,624,640,595,600,586,548,591,599,591,632,629,580,599,381
LV,0,363,358,328,670,,835,776,802,678,506,639,808,794,779,752,750,744
NO,0,2710,2567,2590,1719,2317,2283,2891,2975,2775,2531,2784,,,,,,
PL,0,12423,11365,9923,10895,12967,11167,10265,11209,10804,10376,11742,13169,13031,10023,12586,13101,11152
PT,0,6848,6628,5466,5768,4877,4460,4758,5249,5014,3042,4155,3988,3981,4159,3777,3921,3693
RO,0,13781,13705,5706,5139,4875,4883,4204,4680,5389,5357,5577,5896,6357,6463,6685,5699,5401
SE,0,3736.5,5684,3609,5041,5320,5882,5321.5,5170,5626,5347,5434,5232,4370,4582,4328,4338,4101.325886
